id,solution proposed,RQ1Code
P1,Facilita Spec,Lack of Accessibility
P2,Design2Code3.0,Accessibility
P3,Chrome Plugin for Image Description,Autonomy
P4,Whatsapp Accessibility Bot,"Accessibility, Communication, Autonomy"
P5,Image Reader Agent,"Accessibility, Communication, Autonomy"
P6,Task and Learning Organizer,Self-organization and Learning
P7,Marketing Agents w/ Inclusive language,Communication
P8,AI-Supported Learning Method,Self-organization and Learning
P9,Automated Dev for Motor Accessibility,Productivity
P10,NVDA Add-on Image Describer,"Accessibility, Communication, Autonomy, Productivity"
P11,Accessibility Verifier Agent,Accessibility
P12,Text Simplifier for Cognitive Accessibility,"Accessibility, Communication, Autonomy"
P13,Alt-Text Booster,"Accessibility, Communication, Autonomy"
P14,Texto Claro,"Accessibility, Communication, Autonomy"